,name,diff_num,hunk_num,func_num,Memoery_num_total,Memoery_del_num,Memoery_add_num,Conditions_num_total,Conditions_num_del,Conditions_num_add,Jump_num_total,Jump_num_del,Jump_num_add,Loop_num_total,Loop_num_del,Loop_num_add,Arithmetic_num_total,Arithmetic_num_del,Arithmetic_num_add,relation_num_total,relation_num_del,relation_num_add,Logic_num_total,Logic_num_del,Logic_num_add,bitwise_num_total,bitwise_num_del,bitwise_num_add,Funccall_num_total,Funccall_num_del,Funccall_num_add,Variables_num_total,Variables_num_del,Variables_num_add
44,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-8102/26c1958c322b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-8322/19b5eb56e9c5,1,2,1,0,0,0,4,2,2,1,0,1,0,0,0,0,0,0,6,2,4,2,1,1,0,0,0,0,0,0,4,3,3
46,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-8543/6c7b153d97b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9140/3be38aded847,1,4,2,2,1,1,6,2,4,3,1,2,2,1,1,29,14,15,5,2,3,5,1,4,2,1,1,2,1,2,12,12,11
48,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9140/1af0defd4341,1,4,2,2,1,1,6,2,4,3,1,2,2,1,1,29,14,15,5,2,3,5,1,4,2,1,1,2,1,2,12,12,11
49,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9140/67397e00c65b,1,4,2,2,1,1,6,2,4,3,1,2,2,1,1,29,14,15,5,2,3,5,1,4,2,1,1,2,1,2,12,12,11
50,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9140/8ec071f59c1d,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
51,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9428/35a9ad8af0bb,2,4,3,0,0,0,11,2,9,0,0,0,0,0,0,4,2,2,4,2,2,1,0,1,2,0,2,3,2,1,27,3,25
52,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9428/42a2d923cc34,2,2,2,0,0,0,2,2,0,2,2,0,0,0,0,24,24,0,9,9,0,0,0,0,7,7,0,7,7,0,16,16,0
53,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2014/CVE-2014-9903/5580723faa4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2015/CVE-2015-1573/35a9ad8af0bb,2,4,3,0,0,0,11,2,9,0,0,0,0,0,0,4,2,2,4,2,2,1,0,1,2,0,2,3,2,1,27,3,25
55,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2015/CVE-2015-2925/7d9071a09502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2015/CVE-2015-2925/966966a630d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,/mnt/data/tracer/项目迁移文件/tracer-master/Patchlocator-master/output/equal_commit/2015/CVE-2015-5288/08fa47c4850c,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
