,name,diff_num,hunk_num,func_num,Memoery_num_total,Memoery_del_num,Memoery_add_num,Conditions_num_total,Conditions_num_del,Conditions_num_add,Jump_num_total,Jump_num_del,Jump_num_add,Loop_num_total,Loop_num_del,Loop_num_add,Arithmetic_num_total,Arithmetic_num_del,Arithmetic_num_add,relation_num_total,relation_num_del,relation_num_add,Logic_num_total,Logic_num_del,Logic_num_add,bitwise_num_total,bitwise_num_del,bitwise_num_add,Funccall_num_total,Funccall_num_del,Funccall_num_add,Variables_num_total,Variables_num_del,Variables_num_add
187,./source1012/2019/CVE-2019-15666/torvalds%linux/master/82463436a7fa_patch/equal_file_patch/a111daf0c53a.patch,1,11,3,0,0,0,20,5,15,7,0,7,4,1,3,82,15,67,37,5,32,9,1,8,20,5,15,16,3,14,74,32,68
188,./source1012/2019/CVE-2019-15666/torvalds%linux/master/82463436a7fa_patch/equal_file_patch/351c8a09b00b.patch,1,1,1,0,0,0,2,1,1,0,0,0,2,1,1,5,3,2,4,2,2,1,1,0,0,0,0,2,1,1,8,7,4
189,./source1012/2019/CVE-2019-15666/torvalds%linux/master/82463436a7fa_patch/equal_file_patch/5c8db3eb3817.patch,1,1,1,0,0,0,2,1,1,0,0,0,2,1,1,5,3,2,4,2,2,1,1,0,0,0,0,2,1,1,8,7,4
190,./source1012/2019/CVE-2019-15666/torvalds%linux/master/82463436a7fa_patch/equal_file_patch/b90e90f40b4f.patch,1,11,3,0,0,0,21,5,16,8,0,8,5,1,4,82,13,69,39,5,34,9,1,8,20,5,15,17,3,15,75,30,71
191,./source1012/2019/CVE-2019-15666/torvalds%linux/master/82463436a7fa_patch/equal_file_patch/12a0cf7241f9.patch,1,11,3,0,0,0,9,5,4,0,0,0,2,1,1,34,13,21,20,5,15,1,1,0,12,5,7,7,3,4,34,30,30
192,./source1012/2019/CVE-2019-15902/torvalds%linux/master/caf9a82657b3_patch/equal_file_patch/0af5cb349a2c.patch,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,38,14,24,12,6,6,0,0,0,10,4,6,2,1,2,18,12,17
193,./source1012/2019/CVE-2019-15902/torvalds%linux/master/caf9a82657b3_patch/equal_file_patch/a111daf0c53a.patch,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,38,14,24,12,6,6,0,0,0,10,4,6,2,1,2,18,12,17
194,./source1012/2019/CVE-2019-16713/ImageMagick%ImageMagick/main/371f49ba1d64_patch/equal_file_patch/4cd61940e.patch,1,8,1,0,0,0,3,0,3,7,3,4,0,0,0,19,8,11,12,5,7,8,2,6,0,0,0,7,3,7,21,14,19
195,./source1012/2019/CVE-2019-16713/ImageMagick%ImageMagick/main/371f49ba1d64_patch/equal_file_patch/3ba61dc26.patch,1,10,1,0,0,0,3,0,3,9,4,5,0,0,0,22,9,13,13,5,8,8,2,6,0,0,0,9,3,9,21,14,19
196,./source1012/2019/CVE-2019-16713/ImageMagick%ImageMagick/main/371f49ba1d64_patch/equal_file_patch/d6bf4c260.patch,1,8,1,0,0,0,3,0,3,7,3,4,0,0,0,19,8,11,12,5,7,8,2,6,0,0,0,7,3,7,21,14,19
